ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
967	3	61	1	11	123	2	
968	9	42	12	46	24	1	
969	9	176	4	10	70	9	
970	9	7	3	7	54	1	
971	9	178	3	10	164	3	
972	9	2	4	92	69	1	
973	48	177	1	7	5	22	
974	1	24	3	7	85	6	
975	1	63	2	30	85	25	
976	1	45	3	21	48	3	
977	3	149	3	10	1	22	
978	1	7	1	17	48	7	
979	1	16	3	3	24	3	
980	1	7	3	7	94	22	
981	1	9	3	17	60	22	
982	1	32	3	50	50	1	
983	3	170	3	11	68	7	
984	1	7	4	7	2	1	
985	3	4	3	41	77	4	
986	1	7	12	17	60	31	
987	1	94	3	10	101	3	
988	1	112	3	10	68	3	
989	1	81	12	107	17	9	
990	9	9	3	108	77	1	
991	1	61	1	10	167	61	
992	1	22	62	17	60	31	
993	39	143	29	7	168	29	
994	1	2	42	43	2	62	
995	3	9	3	8	169	6	
996	1	90	1	7	170	1	
997	3	1	1	11	48	63	
998	5	16	3	7	171	21	
999	9	148	3	11	54	64	
1000	48	7	3	3	4	9	
1001	1	9	12	109	60	9	
1002	3	22	1	3	27	65	
1003	9	7	4	10	70	1	
1004	9	7	4	10	70	44	
1005	1	3	3	14	57	7	
1006	1	3	3	111	57	3	
1007	1	3	3	113	57	3	
1008	1	3	3	113	57	7	
1009	1	3	3	113	92	3	
1010	1	3	3	115	194	3	
1011	1	3	3	116	57	7	
1012	1	3	3	116	185	3	
1013	1	7	2	7	190	3	
1014	1	7	3	6	35	10	
1015	1	7	3	6	179	10	
1016	1	7	3	11	176	9	
1017	1	7	3	121	57	7	
1018	1	7	12	46	177	22	
1019	1	9	64	8	92	1	
1020	1	17	2	14	190	3	
1021	1	17	2	40	190	22	
1022	1	22	1	124	92	7	
1023	1	22	3	7	176	7	
1024	1	26	3	7	175	7	
1025	1	26	3	7	192	7	
1026	1	44	1	7	92	3	
1027	1	44	3	7	187	1	
1028	1	60	12	14	187	7	
1029	1	63	2	110	194	25	
1030	1	63	4	29	194	25	
1031	1	63	4	119	16	25	
1032	1	63	4	119	194	25	
1033	1	90	63	10	35	3	
1034	1	90	63	10	192	3	
1035	1	150	2	13	57	1	
1036	1	180	3	7	192	3	
1037	1	181	12	23	188	9	
1038	1	182	3	7	16	7	
1039	1	184	3	20	193	3	
1040	3	7	1	6	186	4	
1041	3	26	3	7	192	7	
1042	3	147	1	7	174	7	
1043	3	147	1	23	175	7	
1044	3	147	4	23	174	7	
1045	3	179	4	7	173	1	
1046	5	42	3	10	92	3	
1047	5	61	3	11	189	3	
1048	5	89	3	3	181	2	
1049	9	7	2	123	191	3	
1050	9	7	3	3	16	1	
1051	9	7	3	3	57	1	
1052	9	7	3	3	194	1	
1053	9	7	12	46	175	22	
1054	9	7	12	46	177	22	
1055	9	7	12	46	178	22	
1056	9	7	12	46	183	22	
1057	9	7	12	46	184	22	
1058	9	7	12	114	177	22	
1059	9	7	12	114	183	22	
1060	9	16	3	3	92	1	
1061	9	180	3	21	176	3	
1062	9	183	3	118	192	5	
1063	10	24	1	20	182	7	
1064	20	185	1	10	180	1	
1065	24	7	3	7	174	1	
1066	24	7	3	7	175	1	
1067	26	7	12	46	177	22	
1068	26	7	12	46	191	22	
1069	26	90	3	21	194	22	
1070	31	17	3	122	92	9	
1071	49	63	2	29	194	25	
1072	49	63	2	112	57	25	
1073	49	63	2	117	57	66	
1074	50	3	3	120	57	3	
1075	51	20	2	7	187	7	
1076	1	44	3	7	92	3	
1077	1	4	1	3	27	1	
1078	1	4	12	7	36	9	
1079	1	9	22	14	60	22	
1080	1	22	12	14	60	22	
1081	1	59	1	7	3	1	
1082	1	60	12	14	121	7	
1083	1	89	3	52	4	9	
1084	1	117	1	7	24	3	
1085	3	7	4	6	67	10	
1086	3	89	3	52	4	9	
1087	9	7	3	52	119	22	
1088	9	7	12	96	119	22	
1089	1	186	2	92	31	1	
1090	1	1	18	1	195	1	
1091	1	1	18	1	159	1	
1092	1	94	3	10	24	3	
1093	5	89	3	3	196	2	
1094	3	1	12	7	72	7	
1095	1	187	3	7	119	3	
1096	9	7	12	46	64	22	
1097	9	7	12	3	119	22	
1098	1	188	3	10	18	1	
1099	1	90	3	4	72	22	
1100	1	102	3	7	48	22	
1101	52	7	22	46	119	22	
1102	5	44	1	10	197	9	
1103	1	3	59	11	48	9	
1104	5	189	3	7	95	7	
1105	26	89	3	3	118	2	
1106	9	120	3	50	198	67	
1107	9	7	12	46	199	22	
1108	1	4	1	4	139	1	
1109	5	44	3	3	118	2	
1110	1	7	1	3	74	7	
1111	1	3	3	14	9	3	
1112	1	4	3	7	36	9	
1113	1	4	3	7	78	9	
1114	1	4	22	7	36	2	
1115	1	4	22	7	55	9	
1116	1	4	22	23	36	1	
1117	1	7	1	14	23	7	
1118	1	7	3	10	202	53	
1119	1	7	4	14	23	7	
1120	1	7	65	125	1	1	
1121	1	9	22	7	36	9	
1122	1	16	3	7	2	1	
1123	1	17	12	14	68	7	
1124	1	20	12	14	68	3	
1125	1	20	12	17	48	3	
1126	1	22	12	14	53	7	
1127	1	44	3	7	201	3	
1128	1	63	22	14	81	25	
1129	1	76	1	7	200	22	
1130	1	111	39	33	31	7	
1131	1	127	12	7	57	7	
1132	1	158	4	7	172	5	
1133	1	56	1	68	158	3	
1134	3	3	4	126	158	20	
1135	3	191	1	64	1	1	
1136	9	7	4	7	70	9	
1137	9	90	3	36	24	3	
1138	9	190	4	92	69	1	
1139	26	61	3	11	68	3	
1140	39	143	29	7	88	29	
1141	26	192	12	127	119	22	
1142	1	3	12	17	54	3	
1143	1	17	12	3	71	1	
1144	1	43	12	17	1	22	
1145	1	44	3	127	58	3	
1146	1	193	1	3	1	1	
1147	3	22	67	128	2	9	
1148	5	89	3	3	203	2	
1149	5	106	1	7	1	3	
1150	9	44	12	7	58	3	
1151	9	56	66	10	43	1	
1152	9	89	2	3	74	7	
1153	9	89	3	3	118	2	
1154	9	143	3	10	168	29	
1155	26	89	3	10	118	2	
1156	35	96	12	7	103	34	
1157	36	24	2	10	5	44	
1158	53	7	12	46	119	22	
1159	9	194	3	7	147	22	
1160	9	7	12	127	119	22	
1161	39	143	3	17	204	29	
1162	3	22	68	3	27	1	
1163	1	169	2	10	68	1	
1164	1	59	1	3	3	1	
1165	1	42	1	7	54	1	
1166	1	7	1	6	144	4	
1167	1	7	3	7	76	6	
1168	1	92	1	10	1	3	
1169	1	32	22	23	36	9	
1170	10	195	3	42	205	44	
1171	3	7	3	6	52	4	
1172	5	53	1	34	69	9	
1173	1	7	3	10	76	6	
1174	1	196	3	7	76	4	
1175	1	7	3	10	73	6	
1176	1	7	3	7	73	6	
1177	1	76	1	10	73	40	
1178	1	3	3	11	175	6	
1179	1	39	3	7	80	17	
1180	1	26	1	7	206	3	
1181	1	3	1	11	24	10	
1182	1	44	1	7	58	6	
1183	1	7	1	7	207	1	
1184	1	197	1	10	48	1	
1185	1	39	3	7	80	9	
1186	3	148	12	11	74	3	
1187	44	111	39	127	41	7	
1188	1	3	3	127	54	3	
1189	1	3	3	129	54	3	
1190	1	44	3	127	208	3	
1191	1	9	2	10	24	3	
1192	1	9	2	10	61	3	
1193	1	170	2	10	61	3	
1194	1	44	12	7	58	3	
1195	3	148	12	11	175	6	
1196	3	198	12	11	74	3	
1197	1	199	33	7	103	34	
1198	1	1	18	1	79	1	
1199	3	7	69	6	52	4	
1200	28	200	28	130	86	28	
1201	54	201	70	131	209	68	
1202	1	7	71	23	60	1	
1203	1	1	18	132	161	1	
1204	1	202	3	7	24	6	
1205	55	1	18	1	79	1	
1206	1	3	12	7	69	1	
1207	54	201	70	131	210	68	
1208	1	24	3	7	24	4	
1209	10	7	1	133	52	4	
1210	1	203	3	7	24	4	
1211	1	1	18	1	1	1	
1212	1	24	3	7	24	69	
1213	1	1	18	36	107	1	
1214	1	204	4	7	31	54	
1215	1	205	3	7	24	6	
1216	1	22	3	10	61	3	
1217	1	22	1	19	92	9	
1218	1	9	1	19	92	9	
1219	5	7	1	19	107	9	
1220	1	17	12	46	211	3	
1221	9	7	22	52	34	22	
1222	26	7	12	52	48	1	
1223	9	7	22	52	119	22	
1224	9	22	3	14	69	3	
1225	9	90	22	21	9	3	
1226	26	7	12	52	48	22	
1227	1	7	12	17	68	3	
1228	1	7	1	23	169	3	
1229	9	7	12	134	48	22	
1230	1	56	1	68	24	3	
